"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"D.Y., Wedajo, Desalegn Yadeta; C., Cristescu, Carmen; S., Billore, Soniya; S., Adamopoulos, Stergios","Wedajo, Desalegn Yadeta (57211513782); Cristescu, Carmen (59411064300); Billore, Soniya (36241446800); Adamopoulos, Stergios (56232096200)","57211513782; 59411064300; 36241446800; 56232096200","Carbon impact of wood-based products through substitution: a review of assessment aspects and future research perspectives in life cycle assessment","2025","Carbon Management","16","1","2536350","","","0","0","10.1080/17583004.2025.2536350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012920671&doi=10.1080%2F17583004.2025.2536350&partnerID=40&md5=c178b031ba518343849a07e8ecfc1459","Sveriges lantbruksuniversitet, Uppsala, Sweden; Sveriges lantbruksuniversitet, Uppsala, Sweden; Linnaeus University, Växjö, Vaxjo, Sweden","Wedajo, Desalegn Yadeta, Department of Forest Biomaterials and Technology, Sveriges lantbruksuniversitet, Uppsala, Sweden; Cristescu, Carmen, Department of Forest Biomaterials and Technology, Sveriges lantbruksuniversitet, Uppsala, Sweden; Billore, Soniya, Department of Marketing and Tourism Studies, Linnaeus University, Växjö, Vaxjo, Sweden; Adamopoulos, Stergios, Department of Forest Biomaterials and Technology, Sveriges lantbruksuniversitet, Uppsala, Sweden","","Review","Final","","Scopus","2-s2.0-105012920671"
"D.B., Ganaie, Daawar Bashir; H., Sajjad, Haroon; R., Ali, Rayees; A., Sharma, Aastha; M.H., Rahaman, Md Hibjur; M., Masroor, Md","Ganaie, Daawar Bashir (57947068600); Sajjad, Haroon (44462024700); Ali, Rayees (57206511552); Sharma, Aastha (58112366900); Rahaman, Md Hibjur (57222043536); Masroor, Md (57209361612)","57947068600; 44462024700; 57206511552; 58112366900; 57222043536; 57209361612","Climate change induced storm surge flood: A systematic review for future research progression","2025","Regional Studies in Marine Science","89","","104374","","","0","0","10.1016/j.rsma.2025.104374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011669964&doi=10.1016%2Fj.rsma.2025.104374&partnerID=40&md5=70ff675b87cf8d8b0fcfd469c4ee5386","Jamia Millia Islamia, New Delhi, India","Ganaie, Daawar Bashir, Department of Geography, Jamia Millia Islamia, New Delhi, India; Sajjad, Haroon, Department of Geography, Jamia Millia Islamia, New Delhi, India; Ali, Rayees, Department of Geography, Jamia Millia Islamia, New Delhi, India; Sharma, Aastha, Department of Geography, Jamia Millia Islamia, New Delhi, India; Rahaman, Md Hibjur, Department of Geography, Jamia Millia Islamia, New Delhi, India; Masroor, Md, Department of Geography, Jamia Millia Islamia, New Delhi, India","","Review","Final","","Scopus","2-s2.0-105011669964"
"E., Daniel, Efraime; J., Harari, Joseph; R.D., Camargo, Ricardo De; S., Soares, Salomão; M.L., Mascagni, Mario Luiz; A.F., Fetter Filho, A. F.H.","Daniel, Efraime (59561501400); Harari, Joseph (7005696551); Camargo, Ricardo De (55919799600); Soares, Salomão (58056121400); Mascagni, Mario Luiz (57203758907); Fetter Filho, A. F.H. (56271360400)","59561501400; 7005696551; 55919799600; 58056121400; 57203758907; 56271360400","Sea level variation along the Brazilian coastline from the perspective of climate change","2025","Regional Studies in Marine Science","89","","104309","","","0","0","10.1016/j.rsma.2025.104309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009222604&doi=10.1016%2Fj.rsma.2025.104309&partnerID=40&md5=1071e76249fc8991ecae92b5e1f54258","Universidade Federal de Santa Catarina, Florianopolis, Brazil; Universidade Federal de Santa Catarina, Florianopolis, Brazil; Universidade de São Paulo, Sao Paulo, Brazil; Institute of Astronomy, Sao Paulo, Brazil; Brazilian Institute of Geography and Statistics (IBGE), Florianopolis, Brazil; Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil","Daniel, Efraime, Graduate Program in Oceanography, Universidade Federal de Santa Catarina, Florianopolis, Brazil, Universidade Federal de Santa Catarina, Florianopolis, Brazil; Harari, Joseph, Universidade de São Paulo, Sao Paulo, Brazil; Camargo, Ricardo De, Institute of Astronomy, Sao Paulo, Brazil; Soares, Salomão, Brazilian Institute of Geography and Statistics (IBGE), Florianopolis, Brazil; Mascagni, Mario Luiz, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil; Fetter Filho, A. F.H., Graduate Program in Oceanography, Universidade Federal de Santa Catarina, Florianopolis, Brazil, Universidade Federal de Santa Catarina, Florianopolis, Brazil","","Review","Final","","Scopus","2-s2.0-105009222604"
"J., Kamaraj, Jesuraja; B., Upendra, Badimela; N., Kunnavil, Nidhin; J., Mathai, Jeenu; S., Krishnan, Sreelash; R., Srinivas, Reji; S., Sekar, Selvam","Kamaraj, Jesuraja (57221924988); Upendra, Badimela (57204550809); Kunnavil, Nidhin (59676525100); Mathai, Jeenu (56538135700); Krishnan, Sreelash (59334335300); Srinivas, Reji (35339753000); Sekar, Selvam (55793106800)","57221924988; 57204550809; 59676525100; 56538135700; 59334335300; 35339753000; 55793106800","Submarine groundwater discharge along India's shorelines: a systematic review of recent studies and sustainability management approach","2025","Regional Studies in Marine Science","89","","104292","","","0","0","10.1016/j.rsma.2025.104292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007703807&doi=10.1016%2Fj.rsma.2025.104292&partnerID=40&md5=d33de36c776ba4774307898e4d7f1707","Centre for Earth Science Studies India, Thiruvananthapuram, India; V. O. Chidambaram College, Thoothukudi, India","Kamaraj, Jesuraja, Centre for Earth Science Studies India, Thiruvananthapuram, India; Upendra, Badimela, Centre for Earth Science Studies India, Thiruvananthapuram, India; Kunnavil, Nidhin, Centre for Earth Science Studies India, Thiruvananthapuram, India; Mathai, Jeenu, Centre for Earth Science Studies India, Thiruvananthapuram, India; Krishnan, Sreelash, Centre for Earth Science Studies India, Thiruvananthapuram, India; Srinivas, Reji, Centre for Earth Science Studies India, Thiruvananthapuram, India; Sekar, Selvam, Department of Geology, V. O. Chidambaram College, Thoothukudi, India","","Review","Final","","Scopus","2-s2.0-105007703807"
"V.J., Tunnicliffe, Verena J.; L.E., Sánchez, Luis Enrique; G.M., Mudd, Gavin M.; D.J., Amon, Diva J.; L.A., Levin, Lisa Ann; H., Lily, Hannah; E.Z., Ramirez-Llodra, Eva Z.; A.T., Cross, Adam T.","Tunnicliffe, Verena J. (7003393479); Sánchez, Luis Enrique (55574122263); Mudd, Gavin M. (6602818327); Amon, Diva J. (54961191300); Levin, Lisa Ann (7202247083); Lily, Hannah (57188837505); Ramirez-Llodra, Eva Z. (6506434915); Cross, Adam T. (55829876800)","7003393479; 55574122263; 6602818327; 54961191300; 7202247083; 57188837505; 6506434915; 55829876800","Metal mining on land versus the ocean in the context of the current Biodiversity Crisis","2025","NPJ Ocean Sustainability","4","1","7","","","0","1","10.1038/s44183-025-00110-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000764965&doi=10.1038%2Fs44183-025-00110-z&partnerID=40&md5=a9ab34ef061df144f4b03d3a8a062b05","University of Victoria, Victoria, Canada; Universidade de São Paulo, Sao Paulo, Brazil; RMIT University, Melbourne, Australia; British Geological Survey, Nottingham, United Kingdom; SpeSeas, D'Abadie, Trinidad and Tobago; University of California, Santa Barbara, Santa Barbara, United States; Center for Marine Biodiversity and Conservation, La Jolla, United States; Hannah Lily Law, London, United Kingdom; REV Ocean, Lysaker, Norway; Curtin University, Perth, Australia; Ecological Health Network, Brookline, United States","Tunnicliffe, Verena J., Department of Biology and School of Earth and Ocean Sciences, University of Victoria, Victoria, Canada; Sánchez, Luis Enrique, Department of Mining and Petroleum Engineering, Universidade de São Paulo, Sao Paulo, Brazil; Mudd, Gavin M., Environmental Engineering, RMIT University, Melbourne, Australia, British Geological Survey, Nottingham, United Kingdom; Amon, Diva J., SpeSeas, D'Abadie, Trinidad and Tobago, University of California, Santa Barbara, Santa Barbara, United States; Levin, Lisa Ann, Center for Marine Biodiversity and Conservation, La Jolla, United States; Lily, Hannah, Hannah Lily Law, London, United Kingdom; Ramirez-Llodra, Eva Z., REV Ocean, Lysaker, Norway; Cross, Adam T., School of Molecular and Life Sciences, Curtin University, Perth, Australia, Ecological Health Network, Brookline, United States","","Note","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000764965"
"N., Kishaija, Noel; A., Ocwa, Akasairi; R., Kuunya, Ronald; B., Ssemugenze, Brian; B., Heil, Bálint","Kishaija, Noel (59222384100); Ocwa, Akasairi (57216764851); Kuunya, Ronald (59527043900); Ssemugenze, Brian (58630785900); Heil, Bálint (7004206465)","59222384100; 57216764851; 59527043900; 58630785900; 7004206465","Climate change mitigation and livelihood components under smallholder coffee farming: a bibliographic and systematic review","2025","Agriculture and Food Security","14","1","3","","","0","2","10.1186/s40066-025-00522-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000731087&doi=10.1186%2Fs40066-025-00522-7&partnerID=40&md5=1743dda25767fc97bc38694c0a847b6d","Roth Gyula Doctoral School of Forestry and Wildlife Management Sciences, Sopron, Hungary; Soproni Egyetem, Sopron, Hungary; Sheema Municipal Council, Sheema, Uganda; Debreceni Egyetem, Debrecen, Hungary; Debreceni Egyetem Mezőgazdaság-, Élelmiszertudományi és Környezetgazdálkodási Kar, Debrecen, Hungary","Kishaija, Noel, Roth Gyula Doctoral School of Forestry and Wildlife Management Sciences, Sopron, Hungary, Institute of Environmental Protection and Nature Conservation, Soproni Egyetem, Sopron, Hungary, Sheema Municipal Council, Sheema, Uganda; Ocwa, Akasairi, Debreceni Egyetem, Debrecen, Hungary, Institute of Land Use, Debreceni Egyetem Mezőgazdaság-, Élelmiszertudományi és Környezetgazdálkodási Kar, Debrecen, Hungary; Kuunya, Ronald, Debreceni Egyetem, Debrecen, Hungary, Institute of Land Use, Debreceni Egyetem Mezőgazdaság-, Élelmiszertudományi és Környezetgazdálkodási Kar, Debrecen, Hungary; Ssemugenze, Brian, Debreceni Egyetem, Debrecen, Hungary, Institute of Land Use, Debreceni Egyetem Mezőgazdaság-, Élelmiszertudományi és Környezetgazdálkodási Kar, Debrecen, Hungary; Heil, Bálint, Roth Gyula Doctoral School of Forestry and Wildlife Management Sciences, Sopron, Hungary, Institute of Environmental Protection and Nature Conservation, Soproni Egyetem, Sopron, Hungary","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000731087"
"Z., Hu, Zhenhong; P., Yan, Pu; B., Li, Binbin; X., Song, Xin; J., Li, Jiwei; J.J., Penuelas, Josep J.; A., Collalti, Alessio; M., Fernández-Martínez, Marcos","Hu, Zhenhong (8684217000); Yan, Pu (57202761711); Li, Binbin (58882605900); Song, Xin (57192811862); Li, Jiwei (57192653869); Penuelas, Josep J. (7006747772); Collalti, Alessio (55315379200); Fernández-Martínez, Marcos (55241379200)","8684217000; 57202761711; 58882605900; 57192811862; 57192653869; 7006747772; 55315379200; 55241379200","Global Change Impacts on Forest Elementomes and Insights for Improved Management Practices","2025","Current Climate Change Reports","11","1","4","","","0","0","10.1007/s40641-025-00200-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000332595&doi=10.1007%2Fs40641-025-00200-7&partnerID=40&md5=fbc8309a92b4ba2803681ab3f16fc52d","Northwest A&F University, Yangling, China; Centre de Recerca Ecològica i Aplicacions Forestals (CREAF-CERCA), Cerdanyola del Valles, Spain; Northwest A&F University, Yangling, China; Georgia Institute of Technology, Atlanta, United States; Centre de Recerca Ecològica i Aplicacions Forestals (CREAF-CERCA), Cerdanyola del Valles, Spain; Consiglio Nazionale delle Ricerche, Rome, Italy; National Biodiversity Future Center (NBFC), Palermo, Italy","Hu, Zhenhong, State Key Laboratory of Soil and Water Conservation and Desertification Control, Northwest A&F University, Yangling, China, Centre de Recerca Ecològica i Aplicacions Forestals (CREAF-CERCA), Cerdanyola del Valles, Spain, Northwest A&F University, Yangling, China; Yan, Pu, School of Biology, Georgia Institute of Technology, Atlanta, United States; Li, Binbin, State Key Laboratory of Soil and Water Conservation and Desertification Control, Northwest A&F University, Yangling, China; Song, Xin, Centre de Recerca Ecològica i Aplicacions Forestals (CREAF-CERCA), Cerdanyola del Valles, Spain; Li, Jiwei, State Key Laboratory of Soil and Water Conservation and Desertification Control, Northwest A&F University, Yangling, China; Penuelas, Josep J., Centre de Recerca Ecològica i Aplicacions Forestals (CREAF-CERCA), Cerdanyola del Valles, Spain, Global Ecology Unit, Centre de Recerca Ecològica i Aplicacions Forestals (CREAF-CERCA), Cerdanyola del Valles, Spain; Collalti, Alessio, Forest Modelling Lab., Consiglio Nazionale delle Ricerche, Rome, Italy, National Biodiversity Future Center (NBFC), Palermo, Italy; Fernández-Martínez, Marcos, Centre de Recerca Ecològica i Aplicacions Forestals (CREAF-CERCA), Cerdanyola del Valles, Spain","","Review","Final","","Scopus","2-s2.0-86000332595"
"R.B., Wakweya, Rusha Begna","Wakweya, Rusha Begna (58368143400)","58368143400","Impacts of climate change on crop production and food security in Ethiopia","2025","Discover Sustainability","6","1","158","","","0","3","10.1007/s43621-025-00830-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000311470&doi=10.1007%2Fs43621-025-00830-9&partnerID=40&md5=f62f224b43bbf156fe79b17ec4461b04","Jimma Medical Center, Jimma, Ethiopia","Wakweya, Rusha Begna, Department of Rural Development and Agricultural Extension, Jimma Medical Center, Jimma, Ethiopia","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000311470"
"H., Ni, Haojie; H., Zeng, Hong; Z., Liu, Zihao; W., Li, Wenlu; S., Miao, Song; A., Aidong Yang, Aidong; Y., Wang, Yanbo","Ni, Haojie (57559561800); Zeng, Hong (57205348578); Liu, Zihao (59817168500); Li, Wenlu (57191110738); Miao, Song (55212861000); Aidong Yang, Aidong (7203072347); Wang, Yanbo (9038019100)","57559561800; 57205348578; 59817168500; 57191110738; 55212861000; 7203072347; 9038019100","Towards decarbonizing the supply chain of dairy industry: current practice and emerging strategies","2025","Carbon Neutrality","4","1","8","","","0","2","10.1007/s43979-025-00124-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000282588&doi=10.1007%2Fs43979-025-00124-z&partnerID=40&md5=658b7176ee82f3743171344178e4308e","Beijing Technology and Business University, Beijing, China; University of Oxford, Oxford, United Kingdom; Beijing Technology and Business University, Beijing, China; Moorepark Food Research Centre, Fermoy, Ireland","Ni, Haojie, School of Food and Health, Beijing Technology and Business University, Beijing, China, Beijing Technology and Business University, Beijing, China; Zeng, Hong, School of Food and Health, Beijing Technology and Business University, Beijing, China; Liu, Zihao, School of Food and Health, Beijing Technology and Business University, Beijing, China; Li, Wenlu, School of Food and Health, Beijing Technology and Business University, Beijing, China; Miao, Song, Department of Food Chemistry and Technology, Moorepark Food Research Centre, Fermoy, Ireland; Aidong Yang, Aidong, University of Oxford, Oxford, United Kingdom; Wang, Yanbo, School of Food and Health, Beijing Technology and Business University, Beijing, China, Beijing Technology and Business University, Beijing, China","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000282588"
"S.A., Genchi, Sibila Andrea; A.J., Vitale, Alejandro José; G.M.E., Perillo, Gerardo Miguel Eduardo","Genchi, Sibila Andrea (55201655800); Vitale, Alejandro José (55320209400); Perillo, Gerardo Miguel Eduardo (7004233707)","55201655800; 55320209400; 7004233707","Coastal cliff erosion: a bibliometric analysis and literature review","2025","Anthropocene Coasts","8","1","8","","","0","0","10.1007/s44218-025-00072-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000280544&doi=10.1007%2Fs44218-025-00072-2&partnerID=40&md5=26fa0fa6a29d63cd10d2657301ada6da","Universidad Nacional del Sur, Bahia Blanca, Argentina; UNS, Bahía Blanca, Argentina; UNS, Bahía Blanca, Argentina; UNS, Bahía Blanca, Argentina","Genchi, Sibila Andrea, Universidad Nacional del Sur, Bahia Blanca, Argentina, Departamento de Geografía y Turismo, UNS, Bahía Blanca, Argentina; Vitale, Alejandro José, Universidad Nacional del Sur, Bahia Blanca, Argentina, Departamento de Geografía y Turismo, UNS, Bahía Blanca, Argentina, Department of Electrical & Computer Engineering, UNS, Bahía Blanca, Argentina; Perillo, Gerardo Miguel Eduardo, Universidad Nacional del Sur, Bahia Blanca, Argentina, Department of Geology, UNS, Bahía Blanca, Argentina","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000280544"
