"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"M., Hiltunen, Minna; R., Kannangara, Ruchira; B., Nakandalage, Bernadeth; O., Söderena, Olivia; H., Timilsina, Hemanta; J., Pirhonen, Juhani; K., Pulkkinen, Katja","Hiltunen, Minna (56108251800); Kannangara, Ruchira (60003031100); Nakandalage, Bernadeth (60002848800); Söderena, Olivia (60002848900); Timilsina, Hemanta (59403045300); Pirhonen, Juhani (7007127627); Pulkkinen, Katja (6701814917)","56108251800; 60003031100; 60002848800; 60002848900; 59403045300; 7007127627; 6701814917","Growth and biomass composition of Chlorella vulgaris using nutrient-rich water and CO2 from a recirculating aquaculture system","2026","Aquaculture","610","","742956","","","0","0","10.1016/j.aquaculture.2025.742956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010838731&doi=10.1016%2Fj.aquaculture.2025.742956&partnerID=40&md5=90aa28ea1dd72f209f8fee0c694f67be","University of Jyväskylä, Jyvaskyla, Finland","Hiltunen, Minna, Department of Biology and Environment Science, University of Jyväskylä, Jyvaskyla, Finland; Kannangara, Ruchira, Department of Biology and Environment Science, University of Jyväskylä, Jyvaskyla, Finland; Nakandalage, Bernadeth, Department of Biology and Environment Science, University of Jyväskylä, Jyvaskyla, Finland; Söderena, Olivia, Department of Biology and Environment Science, University of Jyväskylä, Jyvaskyla, Finland; Timilsina, Hemanta, Department of Biology and Environment Science, University of Jyväskylä, Jyvaskyla, Finland; Pirhonen, Juhani, Department of Biology and Environment Science, University of Jyväskylä, Jyvaskyla, Finland; Pulkkinen, Katja, Department of Biology and Environment Science, University of Jyväskylä, Jyvaskyla, Finland","","Article","Final","","Scopus","2-s2.0-105010838731"
"Z., Meng, Zijing; C., Chen, Chengzhuang; Y., Ma, Yuqing; J., Feng, Jianxue; L., Liu, Ling; P., Li, Ping; Z., Li, Zhihua","Meng, Zijing (59967804100); Chen, Chengzhuang (58659745300); Ma, Yuqing (58766348200); Feng, Jianxue (58766711600); Liu, Ling (57482403800); Li, Ping (56182827200); Li, Zhihua (55707231300)","59967804100; 58659745300; 58766348200; 58766711600; 57482403800; 56182827200; 55707231300","Impacts of acidification and warming on carbon sequestration capacity in Pacific oysters: Roles of biosynthesis and biodeposition","2026","Aquaculture","610","","742906","","","0","0","10.1016/j.aquaculture.2025.742906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009344212&doi=10.1016%2Fj.aquaculture.2025.742906&partnerID=40&md5=664e7ebcfa7e3e04d74d942e2ccb0a2e","Shandong University, Weihai, Weihai, China","Meng, Zijing, Shandong University, Weihai, Weihai, China; Chen, Chengzhuang, Shandong University, Weihai, Weihai, China; Ma, Yuqing, Shandong University, Weihai, Weihai, China; Feng, Jianxue, Shandong University, Weihai, Weihai, China; Liu, Ling, Shandong University, Weihai, Weihai, China; Li, Ping, Shandong University, Weihai, Weihai, China; Li, Zhihua, Shandong University, Weihai, Weihai, China","","Article","Final","","Scopus","2-s2.0-105009344212"
"B., Yang, Beichen; M.K., Jago, Matthew K.; T.S., Mock, Thomas S.; M.G., Turchini, M. Giovanni; M.J., Salini, Michael J.; R.P., Smullen, Richard Paul; D.S., Francis, David Scott","Yang, Beichen (59962741300); Jago, Matthew K. (57203959842); Mock, Thomas S. (57203964409); Turchini, M. Giovanni (6602298050); Salini, Michael J. (56071745000); Smullen, Richard Paul (6506485677); Francis, David Scott (12783895300)","59962741300; 57203959842; 57203964409; 6602298050; 56071745000; 6506485677; 12783895300","Energy modulation in Atlantic salmon: Oleic acid increases adipogenesis and energy deposition","2026","Aquaculture","610","","742895","","","0","0","10.1016/j.aquaculture.2025.742895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009049170&doi=10.1016%2Fj.aquaculture.2025.742895&partnerID=40&md5=e4148e187987d878e53062670009ad9e","Deakin University, School of Life and Environmental Sciences, Melbourne, Australia; University of Melbourne, Melbourne, Australia; Ridley AgriProducts Pty Ltd, Pakenham, Australia","Yang, Beichen, Nutrition and Seafood Laboratory, Deakin University, School of Life and Environmental Sciences, Melbourne, Australia; Jago, Matthew K., Nutrition and Seafood Laboratory, Deakin University, School of Life and Environmental Sciences, Melbourne, Australia; Mock, Thomas S., Nutrition and Seafood Laboratory, Deakin University, School of Life and Environmental Sciences, Melbourne, Australia; Turchini, M. Giovanni, Nutrition and Seafood Laboratory, Deakin University, School of Life and Environmental Sciences, Melbourne, Australia, School of Agriculture, University of Melbourne, Melbourne, Australia; Salini, Michael J., Nutrition and Seafood Laboratory, Deakin University, School of Life and Environmental Sciences, Melbourne, Australia; Smullen, Richard Paul, Ridley AgriProducts Pty Ltd, Pakenham, Australia; Francis, David Scott, Nutrition and Seafood Laboratory, Deakin University, School of Life and Environmental Sciences, Melbourne, Australia","","Article","Final","","Scopus","2-s2.0-105009049170"
"M.F., Riesco, Marta F.; L., Calvo-Rodríguez, Laura; M.Á., Esteban, Maria Ángeles; P., de Paz, Paulino; I., Fernández, Ignacio","Riesco, Marta F. (54796976600); Calvo-Rodríguez, Laura (59361523300); Esteban, Maria Ángeles (59961699600); de Paz, Paulino (57191435761); Fernández, Ignacio (24484817300)","54796976600; 59361523300; 59961699600; 57191435761; 24484817300","Impacts of present heat waves in freshwater environments during out-growth phase in rainbow trout, Oncorhynchus mykiss, underscores the need of new wisely designed mitigation strategies: climatological, physiological and molecular analyses","2026","Aquaculture","610","","742879","","","0","0","10.1016/j.aquaculture.2025.742879","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009007412&doi=10.1016%2Fj.aquaculture.2025.742879&partnerID=40&md5=402e8e0df32c30bdb37adb6e5c1db1a6","Universidad de León, Leon, Spain; Universidad de Murcia, Murcia, Spain; Instituto tecnoló gico Agrario de Castilla y Leó n (ITACYL), Valladolid, Spain; Universidad de León, Leon, Spain","Riesco, Marta F., Universidad de León, Leon, Spain; Calvo-Rodríguez, Laura, Universidad de León, Leon, Spain; Esteban, Maria Ángeles, Immunobiology for Aquaculture Group, Universidad de Murcia, Murcia, Spain; de Paz, Paulino, Universidad de León, Leon, Spain; Fernández, Ignacio, Aquaculture Research Center, Instituto tecnoló gico Agrario de Castilla y Leó n (ITACYL), Valladolid, Spain, Universidad de León, Leon, Spain","","Article","Final","","Scopus","2-s2.0-105009007412"
"H., Jain, Harshita; R., Dhupper, Renu","Jain, Harshita (57223045274); Dhupper, Renu (57196436189)","57223045274; 57196436189","Holistic strategies for sustainable buildings and their impacts on soil and environmental health","2026","Journal of Building Pathology and Rehabilitation","11","1","10","","","0","0","10.1007/s41024-025-00688-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013276464&doi=10.1007%2Fs41024-025-00688-4&partnerID=40&md5=d376f164edf4d7212ea90bb86bcf044a","Amity University, Noida, India","Jain, Harshita, Amity Institute of Environmental Sciences, Amity University, Noida, India; Dhupper, Renu, Amity Institute of Environmental Sciences, Amity University, Noida, India","","Review","Final","","Scopus","2-s2.0-105013276464"
"A., DarvishaliNezhad, Arian; S.H.G., Mousavinejad, Seyed Hosein Ghasemzadeh; A., Gholizad, Amin","DarvishaliNezhad, Arian (60004604500); Mousavinejad, Seyed Hosein Ghasemzadeh (59158441700); Gholizad, Amin (25823031600)","60004604500; 59158441700; 25823031600","Optimization of sustainability in GFRP-reinforced concrete: experimental, numerical and environmental assessment","2026","Journal of Building Pathology and Rehabilitation","11","1","9","","","0","0","10.1007/s41024-025-00683-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012969666&doi=10.1007%2Fs41024-025-00683-9&partnerID=40&md5=fa1f23111768c4a7a6a52f7d3b2f1b26","University of Mohaghegh Ardabili, Ardabil, Iran; University of Guilan, Rasht, Iran","DarvishaliNezhad, Arian, Department of Civil Engineering, University of Mohaghegh Ardabili, Ardabil, Iran; Mousavinejad, Seyed Hosein Ghasemzadeh, Department of Civil Engineering, University of Guilan, Rasht, Iran; Gholizad, Amin, Department of Civil Engineering, University of Mohaghegh Ardabili, Ardabil, Iran","","Article","Final","","Scopus","2-s2.0-105012969666"
"X., Ran, Xu; C., Liu, Chuanjun; B., Chen, Bin","Ran, Xu (57224506884); Liu, Chuanjun (55598802300); Chen, Bin (55597856700)","57224506884; 55598802300; 55597856700","Synergistic radiative-evaporative cooling film for high-efficiency daytime passive cooling and photovoltaic thermal management","2026","Journal of Materials Science and Technology","249","","","189","195","0","0","10.1016/j.jmst.2025.05.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011205129&doi=10.1016%2Fj.jmst.2025.05.057&partnerID=40&md5=a76173c13176598fac897eb1d0ecd6e1","Southwest University, Chongqing, China; Kyushu University, Fukuoka, Japan","Ran, Xu, Chongqing Key Laboratory of Non-linear Circuit and Intelligent Information Processing, Southwest University, Chongqing, China; Liu, Chuanjun, Department of Electronics, Kyushu University, Fukuoka, Japan; Chen, Bin, Chongqing Key Laboratory of Non-linear Circuit and Intelligent Information Processing, Southwest University, Chongqing, China","","Article","Final","","Scopus","2-s2.0-105011205129"
"H., Calgan, Haris; A., Gokyildirim, Abdullah; S.M., Sharkh, Suleiman M.; M., Demirtaş, Metin","Calgan, Haris (57189245844); Gokyildirim, Abdullah (57189636334); Sharkh, Suleiman M. (59993199800); Demirtaş, Metin (57213387509)","57189245844; 57189636334; 59993199800; 57213387509","Masking of measurements in a photovoltaic system using an incommensurate fractional-order chaotic system based on string dynamics around the Bardeen-AdS black hole","2026","Journal of Computational and Applied Mathematics","474","","116932","","","0","0","10.1016/j.cam.2025.116932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012609411&doi=10.1016%2Fj.cam.2025.116932&partnerID=40&md5=99e68f6c7dddfcc20ef3ac3a114f0921","Balikesir Üniversitesi, Balikesir, Turkey; Bandırma Onyedi Eylül University, Bandirma, Turkey; University of Southampton, Southampton, United Kingdom","Calgan, Haris, Department of Electrical and Electronic Engineering, Balikesir Üniversitesi, Balikesir, Turkey; Gokyildirim, Abdullah, Department of Electrical and Electronic Engineering, Bandırma Onyedi Eylül University, Bandirma, Turkey; Sharkh, Suleiman M., Mechatronics Research Group, University of Southampton, Southampton, United Kingdom; Demirtaş, Metin, Department of Electrical and Electronic Engineering, Balikesir Üniversitesi, Balikesir, Turkey","","Article","Final","","Scopus","2-s2.0-105012609411"
"H., Song, Huaxin; Z., Sun, Zhipeng; Y., Hao, Yilin; X., Jiang, Xiangfen; X., Wang, Xuebin","Song, Huaxin (59550579800); Sun, Zhipeng (59443036400); Hao, Yilin (58694247900); Jiang, Xiangfen (36504114600); Wang, Xuebin (59908260800)","59550579800; 59443036400; 58694247900; 36504114600; 59908260800","Machine learning-assisted prediction and optimization of electrocatalytic activity","2026","Journal of Materials Science and Technology","245","","","17","32","0","1","10.1016/j.jmst.2025.04.050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008432526&doi=10.1016%2Fj.jmst.2025.04.050&partnerID=40&md5=17e9a815e2376ab476faeac9ecdbb9ef","Nanjing University of Aeronautics and Astronautics, Nanjing, China; Nanjing University, Nanjing, China","Song, Huaxin, State Key Laboratory of Mechanics and Control of Mechanical Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Sun, Zhipeng, Frontiers Science Center for Critical Earth Material Cycling, Nanjing University, Nanjing, China; Hao, Yilin, State Key Laboratory of Mechanics and Control of Mechanical Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Jiang, Xiangfen, State Key Laboratory of Mechanics and Control of Mechanical Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Wang, Xuebin, Frontiers Science Center for Critical Earth Material Cycling, Nanjing University, Nanjing, China","","Review","Final","","Scopus","2-s2.0-105008432526"
"Y., Guo, Yihua; M., Zhang, Mingye","Guo, Yihua (58534992800); Zhang, Mingye (57217139174)","58534992800; 57217139174","Joint optimization of electric bus infrastructure planning, fleet composition, and charging schedule with multiple charging modes","2026","Expert Systems with Applications","297","","129402","","","0","0","10.1016/j.eswa.2025.129402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014108162&doi=10.1016%2Fj.eswa.2025.129402&partnerID=40&md5=77118e21cf7cb9a2632bb621b5b9f9ca","Southeast University, Nanjing, China","Guo, Yihua, School of Transportation, Southeast University, Nanjing, China; Zhang, Mingye, School of Transportation, Southeast University, Nanjing, China","","Article","Final","","Scopus","2-s2.0-105014108162"
